tcga_cancer	gene_name	Oncogene..o..or.Tumour.Supp.t.	Transcript_id	mean	median	std	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_PROTEIN_SECRETION	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_MTORC1_SIGNALING	HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_MYC_TARGETS_V1	HALLMARK_ANGIOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_PEROXISOME	HALLMARK_HYPOXIA	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_COAGULATION	HALLMARK_APICAL_SURFACE	HALLMARK_COMPLEMENT	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_APOPTOSIS	HALLMARK_GLYCOLYSIS	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_SPERMATOGENESIS	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_UV_RESPONSE_DN	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UV_RESPONSE_UP	HALLMARK_ADIPOGENESIS	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_G2M_CHECKPOINT	HALLMARK_NOTCH_SIGNALING	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_P53_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_HEME_METABOLISM	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_MYOGENESIS	HALLMARK_APICAL_JUNCTION	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_MYC_TARGETS_V2	HALLMARK_MITOTIC_SPINDLE
BLCA	 AATBC	o	ENST00000400385.2	2.30285100775105	0.44027870154535	6.35473976439305	1.30630023646085	1.18785127113996	0.944440855021598	0.93224072319912	0.925668719992115	0.81693886597037	0.759020892016026	0.653807858144474	0.653244521852392	0.566417501910215	-0.779816217130898	-1.02476320771244	-1.03088011584082	-1.12283679859109	-1.20591649985577	-1.26179507473552	-1.27009942155283	-1.28359022038384	-1.2936868690828	-1.31328965797425	-1.3588946299584	-1.38886132124143	-1.40894806151321	-1.4594004613668	-1.47577082085595	-1.49412409837214	-1.51506065465756	-1.56646605431974	-1.61494394860021	-1.63852922744938	-1.82760147588693	-1.82864083624116	-1.86232246531935	-1.88735925695353	-1.89739981205604	-1.93835597288642	-1.94079469701482	-2.03186833518731	-2.20724400953453	-2.31183683860213	-2.40919938143698	-2.44022468243155	-2.51125336726881	-2.54531945836757	-2.62490670120342	-2.70577696551336	-2.76792191253482	-2.80460396449856	-3.0350884046927	-3.05065199826051
LUAD	 AC093901.1	o	ENST00000449075.1	0.0281656427506126	0	0.0989554378409165	-1.63605652755319	1.16008569638172	0.641113475734732	-0.823169234908674	-0.951795952872541	-1.68452707957134	-0.663554303808457	-0.920374537637573	-1.33150786842116	-1.31930495402799	0.957131149646829	-1.07722449089598	1.19617545495165	1.33629623659289	-1.40167728190369	-0.911695170075805	-1.77028108372857	-0.837839216964899	1.80795872380412	0.911312609008897	0.894326282589387	1.37273057773718	-1.85049922204214	-0.787276095975538	-1.63644839571991	1.88030379693368	1.19950381440826	1.63351909342125	-0.91831460729828	-1.04705442960556	-1.30764525722567	0.713868304785852	-1.40880243588805	1.26211503824083	-1.42761369355312	-0.924285094886789	1.94990948310138	1.40474875290687	1.15701955083174	1.85305805100411	-0.988799455039432	0.923268260143149	-2.08347436840288	2.49574083967985	2.31757863464691	2.90129063221965	2.68581811988262	1.5243563529666	1.92414980244955	3.00650977829283
LUAD	 ACTA2-AS1	o	ENST00000437930.4	0.515875542191955	0	1.49073404607257	1.84805079612376	2.35049313491104	1.93660924194637	2.58376367141721	1.78305963474142	2.70204936075184	3.16518862849329	2.3381917031552	1.44902946216907	-1.17173506755862	2.78334108694016	2.09229645591291	3.1523469415649	-1.24352506681566	1.46004159777855	2.28726207989638	0.859580459866283	2.14070079455744	-1.20382409471102	1.41107017066706	-2.22271775350438	-1.65692980077759	-0.827936425670867	-1.52158446874739	1.04808154440853	-1.47349601192509	1.09612711431022	0.965790966241344	1.07855410934897	0.751734298345805	-1.31185306987078	1.12893912536278	-0.792082839906101	-2.18723792078217	0.863493949306293	-0.840621419675855	-2.11207148053806	1.0339886076736	-1.08235434710591	0.921043569998065	-1.35111206153463	-1.63924237555805	-1.26166523829644	-1.4914142460149	-1.00421783460141	-1.88590337512509	-2.12535217032117	-0.782359663398696	-1.46265173989048	-1.40757167249044
GBM	 ADAMTS9-AS2	t	ENST00000474768.5	0.0239290943162553	0	0.0415689567002769	-1.8909744740154	1.69566568762382	0.648638049353756	2.32633057338611	2.42107640715228	2.22552545645614	2.02295240589457	1.84166774068355	1.23082478135576	1.43513488616792	1.93565153425985	1.75249560306596	1.96792043579649	-1.17609250356226	0.816808652892651	1.40693810211205	1.8310647529983	-1.44563218302775	1.47262344463583	-1.83741250684554	-1.29913095708722	-0.957957402613626	0.867399802068233	-1.00304057823534	1.40307546447625	1.69662288113842	0.577860351093919	1.01191683093168	1.42807381246887	1.02621850967494	-1.21019786297675	1.98817538891339	1.5386907266688	1.76323314682869	0.712807468933415	1.66821395528836	1.23206971214457	1.67834177476497	1.17058420640887	1.02865102433053	1.49578400068625	1.34421397235821	1.92915001928761	-1.40701631876755	-1.49247015166697	0.69245555278155	-1.90209275811117	1.10716517732223	-1.35320559418264	1.2745300893037
LUAD	 AFAP1-AS1	o	ENST00000608442.1	6.77226274704336	3.09215288669844	8.437657843126	2.03848847033777	1.91648176769812	1.899480191095	1.81041944746795	1.71692193393106	1.70110786244022	1.63544247667555	1.57863480574325	1.57507064162612	1.57306087018542	1.57217206926904	1.48615390328634	1.44448420064035	1.43912956807678	1.43039525714134	1.41425081176274	1.38331294967677	1.26629828173494	1.26492142350387	1.17056892026371	1.14100579885013	1.12730234389105	1.11396616086082	1.07857321747048	1.05891133963386	1.04817058324688	1.03627100946963	1.00454005008834	0.969072768561189	0.968409250506785	0.883579379424407	0.867149823736843	0.819253417151232	-0.86187969314854	-0.901540502763433	-0.965149452669815	-0.995385633389563	-1.01496409942393	-1.05090156527491	-1.09348847162629	-1.10437723950169	-1.15903554458893	-1.38174040635156	-1.41602663506699	-1.49468055287795	-1.54178475187697	-2.07534220383051	-2.24610279088684	-2.26335260207764	-2.51991289487818
STAD	 AP001631.9	o	ENST00000424933.1	0.0225754467167341	0	0.0744753806364246	2.59442802602837	2.54391304844364	2.31979575181333	2.2671991197382	2.13555204317057	2.1342338444158	2.12165278009798	1.94863566536307	1.90468809370782	1.83891976234165	1.83050216563899	1.81799050848508	1.78521886637317	1.7537206972772	1.73367202902147	1.71274622233907	1.69185705478874	1.66668276406608	1.60583168059142	1.59797796192438	1.56812721833816	1.55530367461295	1.53535191791186	1.52032823550471	1.47544442015678	1.39211604123279	1.36819886433758	1.3587771630282	1.35509974608125	1.3439500915892	1.16405148835566	1.13061820479129	1.07722879885456	1.00941321026147	0.958469833582387	0.929267862950874	0.917650518531751	0.822740143504925	0.790135297703766	0.705166267666119	0.580737038399346	-0.720354637424044	-0.722284113266452	-0.780706478509879	-1.03274870670657	-1.12852842410343	-1.24949985111341	-1.25307827520187	-1.27578193785895	-1.43977733169845
GBM	 APTR	t	ENST00000398043.2	3.09393270129945	2.97277754650491	1.87037642974589	3.28643554900161	0.632193245276196	1.72885065170263	-1.38225071244745	-1.10831519240995	-0.936547398851357	-0.964463164221077	0.555880869890718	1.38972738128599	-0.690480107655404	-1.16477245363468	0.685578107578598	-0.795803681278434	1.2961069826702	1.86207324831671	-0.713810510747585	1.14720728892092	2.20788851333016	-0.892743160749901	1.67277024750652	1.34472993156886	1.51997936388909	-0.996624423069475	0.813745114816827	-0.890977014397815	-0.994910253701007	2.28033494593075	-1.26714474621482	-1.35409438240807	-0.492846197214454	0.782587415385039	0.895274272383969	0.801868538828885	-1.24259938034457	2.29163879717981	-1.12232729927609	-1.84113183756607	-1.94950772327062	-1.50566104904703	-1.14438749304688	-2.08165370374128	1.08285868670777	-2.10841266034233	-0.971723992187711	-1.42841665191401	1.01466064176263	-0.863053924279308	-1.80772313711313	-2.16720770114667	-2.94902911798249
LUAD	 BANCR	ot	ENST00000625062.3	0.371181947997324	0	1.79556456534385	-1.65395293038233	0.839133631777976	-1.52928597261209	-1.11967100841624	-1.05640045577033	-1.06387259371204	-1.05246967418349	-1.43163057346606	-1.34159057999273	-1.47025304191676	1.04429764269715	-1.20543013685777	-1.86040869840959	1.96994091367163	-1.57092926507092	-1.23368208223199	-1.16268902020409	-1.2813841852605	0.614551801863588	-0.837484934754891	0.848928053088946	-1.11367538353035	-1.66520358526283	-1.10176887741224	0.991760631967469	1.71082194230035	-1.27210741124189	1.25835719979208	-1.11059801147636	-1.17991960818733	-1.18084510620307	0.833920145226255	-0.896529047917522	-1.40957434937921	-0.886530533953974	-1.29007178475816	0.639447511508809	1.32314512363251	-1.6528485461076	-1.8750474159296	-1.22598316682159	-0.781325536240446	-1.39512966153099	1.22364556911301	1.76341494951564	2.60867422705808	1.90955628688714	1.01988135565672	1.61889027207977	2.21711929167824
BRCA	 BCAR4	o	ENST00000571158.5	0.0664962708855839	0	0.788287262223414	-1.925974976403	1.33302656138308	-2.05189343715998	-1.91407428322044	-1.06444225564492	1.3758627798996	-1.25497275027259	-1.35959076569507	1.01197457964199	0.622190923211042	1.02577104678868	1.51823265842346	1.83921909764906	1.61291357353172	-1.79418273835777	-1.75517169456237	1.35738502378361	1.05812854732097	-1.10870208104644	0.573948980395828	-1.46999216696844	1.02188291063696	-1.12182448886507	0.826866175093119	-1.7241902716127	0.831003164865633	1.41232659908408	0.953329622409213	-0.741063545340666	-0.837627983229254	0.948281220680484	-1.13617439580953	-1.0916339515553	0.975446173293521	1.08231987783781	-1.1339547913281	1.21559872125248	1.05883035934094	-1.07128156881265	-0.805040719101097	-0.802019224824413	0.795684103554442	1.11307395348482	-1.14504801022244	0.47955124204939	-1.99417605187899	1.52384102033105	-1.21929044337544	2.22412143008774	1.57184057583807
STAD	 BLACAT1	o	ENST00000626538.1	0.00441816420301368	0	0.034753244245523	-1.04126071790659	-1.01744382480353	1.19137845324747	0.971436081434742	0.837287419058699	0.915266229671732	0.545732527131311	1.42275693512128	0.587656316254626	2.36145129739151	2.5416819775326	1.2615583859228	-0.747606742020539	1.37372020494434	1.47267577182225	1.39300888039858	1.05634773858815	-0.935347145024296	0.834471014880809	1.84847065892651	1.95122416632468	1.88372268050907	-0.806211172427776	1.15896943805192	1.2060123285822	0.983047751431465	-1.01214947174335	1.07562651422019	2.04601460826713	2.46476879059522	1.48385204468607	1.44526748567222	-1.18244237672964	-1.80287112574854	-1.36996135562126	1.16717131084517	3.21354951615741	-1.21884906012299	-2.04077155044428	1.22377208524009	1.88717267078367	-1.75006492012032	-1.47816934758778	3.41911343632682	-1.78994403539129	1.18447608448963	3.20592586194072	0.669491918661293	0.96306947129107	1.52487838925844
